Feature Type,accdec,Classification Accuracy (%),,,,,,,,
Domain Specific ,0.5063,50.63,,,,,,,,
Domain Specific ,0.4538,45.38,,,,,,,,
Domain Specific ,0.4378,43.78,,,,,,,,
Domain Specific ,0.6162,61.62,,,,,,,,
Domain Specific ,0.6453,64.53,,,,,,,,
Domain Specific ,0.4751,47.51,,,,,,,,
Domain Specific ,0.599,59.9,,,,,,,,
Domain Specific ,0.5695,56.95,,,,,,,,
Domain Specific ,0.6115,61.15,,,,,,,,
Domain Specific ,0.6249,62.49,,,,,,,,
Pearson Correlated,,15.49669,,,,,,,,
Pearson Correlated,,17.44966,,,,,,,,
Pearson Correlated,,20.9816,,,,,,,,
Pearson Correlated,,14.51028,,,,,,,,
Pearson Correlated,,13.45178,,,,,,,,
Pearson Correlated,,16.99717,,,,,,,,
Pearson Correlated,,15.00682,,,,,,,,
Pearson Correlated,,15.78947,,,,,,,,
Pearson Correlated,,15.53672,,,,,,,,
Pearson Correlated,,17.29428,,,,,,,,
