Models,test_acc_dec,Classification Accuracy,avg_acc,,,,,,,
Dense_CNN,0.69,69.000,,,,,,,,
Dense_CNN,0.6832,68.320,,,,,,,,
Dense_CNN,0.6196,61.960,,,,,,,,
Dense_CNN,0.6711,67.110,,,,,,,,
Dense_CNN,0.6523,65.230,,,,,,,,
Dense_CNN,0.6756,67.560,,,,,,,,
Dense_CNN,0.5921,59.210,,,,,,,,
Dense_CNN,0.6199,61.990,,,,,,,,
Dense_CNN,0.7006,70.060,,,,,,,,
Dense_CNN,0.7085,70.850,,,,,,,,
Random_Forest,0.5578,55.780,,,,,,,,
Random_Forest,0.5518,55.180,58.309,,,,,,,
Random_Forest,0.5211,52.110,,,,,,,,
Random_Forest,0.5788,57.880,,,,,,,,
Random_Forest,0.5769,57.690,,,,,,,,
Random_Forest,0.531,53.100,,,,,,,,
Random_Forest,0.6241,62.410,,,,,,,,
Random_Forest,0.6625,66.250,,,,,,,,
Random_Forest,0.614,61.400,,,,,,,,
Random_Forest,0.6129,61.290,,,,,,,,
LinearSVC,0.5063,50.630,,,,,,,,
LinearSVC,0.4538,45.380,,,,,,,,
LinearSVC,0.4378,43.780,,,,,,,,
LinearSVC,0.6162,61.620,,,,,,,,
LinearSVC,0.6453,64.530,,,,,,,,
LinearSVC,0.4751,47.510,,,,,,,,
LinearSVC,0.599,59.900,,,,,,,,
LinearSVC,0.5695,56.950,,,,,,,,
LinearSVC,0.6115,61.150,,,,,,,,
LinearSVC,0.6249,62.490,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
